record_id,source_dataset,source_file,expected_technique_code,expected_stage_code,label_source,label_quality,mapping_confidence,source_type,parser_source,pcap_based,flow_only,prompt_available,rag_available,in_balanced_eval_set,reserved_small_coverage_holdout,review_decision,review_reason,codex_review_is_final
feasibility_portscan::scan_group::000001,controlled_portscan_pcap,datasets/public/feasibility/raw/portscan/generated_nmap_local_scan.pcap,TA43_01,TA43,generated local nmap scan behavior,high_controlled,high,pcap,zeek_conn,True,False,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
ctu13_scenario1::session::000003,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
ctu13_scenario1::session::000001,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
ctu13_scenario1::session::000007,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
ctu13_scenario1::session::005385,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000026,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000008,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000009,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000014,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000010,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000011,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000013,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000015,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
