doc_id,title,relative_path,category,attack_types,attack_stages,keywords,source_type,safe_for_llm,notes
attack_chain_summary,Attack chain summary policy,rag/knowledge/aggregation_policy/attack_chain_summary.md,aggregation_policy,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,attack chain|reconnaissance|initial_access|command_and_control,official_or_distilled,true,Retrieve for attack chain summary policy evidence interpretation.
case_level_vs_event_level_labels,Case-level versus event-level labels,rag/knowledge/aggregation_policy/case_level_vs_event_level_labels.md,aggregation_policy,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,case-level|event-level|rough agreement|evaluation,official_or_distilled,true,Retrieve for case-level versus event-level labels evidence interpretation.
event_level_vs_pcap_level,Event-level versus PCAP-level judgment,rag/knowledge/aggregation_policy/event_level_vs_pcap_level.md,aggregation_policy,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,event level|pcap level|aggregation|mixed traffic,official_or_distilled,true,Retrieve for event-level versus pcap-level judgment evidence interpretation.
event_to_pcap_aggregation,Event to PCAP aggregation policy,rag/knowledge/aggregation_policy/event_to_pcap_aggregation.md,aggregation_policy,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,aggregate_events_to_pcap|aggregation|high confidence|attack summary,official_or_distilled,true,Retrieve for event to pcap aggregation policy evidence interpretation.
output_schema_policy,Output schema policy,rag/knowledge/aggregation_policy/output_schema_policy.md,aggregation_policy,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,JSON|schema|attack_type|attack_stage|evidence,official_or_distilled,true,Retrieve for output schema policy evidence interpretation.
command_and_control_stage,Command and control stage,rag/knowledge/attack_stages/command_and_control_stage.md,attack_stages,c2|trojan_callback|backdoor,command_and_control,command_and_control|C2|CnC|beacon|callback,official_or_distilled,true,Retrieve for command and control stage evidence interpretation.
initial_access_stage,Initial access stage,rag/knowledge/attack_stages/initial_access_stage.md,attack_stages,exploit|other_attack,initial_access,initial_access|exploit|bruteforce|web attack|SMB exploit,official_or_distilled,true,Retrieve for initial access stage evidence interpretation.
none_stage,None stage,rag/knowledge/attack_stages/none_stage.md,attack_stages,normal,none,none|normal|insufficient evidence|low signal,official_or_distilled,true,Retrieve for none stage evidence interpretation.
persistence_stage,Persistence stage,rag/knowledge/attack_stages/persistence_stage.md,attack_stages,backdoor,persistence,persistence|backdoor|implant|autorun|durable access,official_or_distilled,true,Retrieve for persistence stage evidence interpretation.
reconnaissance_stage,Reconnaissance stage,rag/knowledge/attack_stages/reconnaissance_stage.md,attack_stages,port_scan,reconnaissance,reconnaissance|scan|probe|unique_dst_ports|SYN,official_or_distilled,true,Retrieve for reconnaissance stage evidence interpretation.
stage_mapping_overview,Attack stage mapping overview,rag/knowledge/attack_stages/stage_mapping_overview.md,attack_stages,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,attack_stage|none|reconnaissance|initial_access|command_and_control,official_or_distilled,true,Retrieve for attack stage mapping overview evidence interpretation.
attack_type_mapping,Attack type mapping policy,rag/knowledge/attack_types/attack_type_mapping.md,attack_types,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,attack_type|taxonomy|normal|exploit|c2,official_or_distilled,true,Core closed-label mapping.
backdoor_detection,Backdoor detection,rag/knowledge/attack_types/backdoor_detection.md,attack_types,backdoor,persistence|command_and_control,backdoor|implant|beacon|shell|DOUBLEPULSAR,official_or_distilled,true,Retrieve for backdoor detection evidence interpretation.
bruteforce_detection,Bruteforce detection,rag/knowledge/attack_types/bruteforce_detection.md,attack_types,other_attack,initial_access,bruteforce|SSH|FTP|RDP|login failures|authentication,official_or_distilled,true,Retrieve for bruteforce detection evidence interpretation.
c2_detection,C2 detection,rag/knowledge/attack_types/c2_detection.md,attack_types,c2,command_and_control,C2|CnC|beacon|checkin|botnet|command_and_control,official_or_distilled,true,Retrieve for c2 detection evidence interpretation.
