scenario_id,intended_label,variant,pcap_path,bytes,sha256,generation_script,evidence_summary,safety_notes,limitations
synthetic_ta43_01_v1,TA43_01,1,datasets/public/synthetic_controlled/raw/ta43_01/synthetic_ta43_01_v1.pcap,3224,5a3c6dcbeee0ccab01ce741ebc74c75f99f8e05002bb183e8e1f9d093c3bcfe3,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,TCP connect attempts across 20 closed localhost ports.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta43_01_v2,TA43_01,2,datasets/public/synthetic_controlled/raw/ta43_01/synthetic_ta43_01_v2.pcap,3224,1f456f8669259111018fdc03d6544ebc107df59eb24359e4b92499515b87eb81,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,TCP connect attempts across 20 closed localhost ports.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta43_01_v3,TA43_01,3,datasets/public/synthetic_controlled/raw/ta43_01/synthetic_ta43_01_v3.pcap,3224,7b1d7b74c05a166a6fdd94fdef2a778b1ea080104583272979760f940fc9060d,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,TCP connect attempts across 20 closed localhost ports.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta43_02_v1,TA43_02,1,datasets/public/synthetic_controlled/raw/ta43_02/synthetic_ta43_02_v1.pcap,10805,7ea6606b4d4ebb435b3c64de8fc2cb61f159378c76126ff090cc27b723110eb1,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Nmap-NSE/Nikto-labelled HTTP service, version and scanner-path probes.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta43_02_v2,TA43_02,2,datasets/public/synthetic_controlled/raw/ta43_02/synthetic_ta43_02_v2.pcap,10805,49e6ccdb827b5e20161cf2ea1d3197e60004fc851658133a7867de1449782d3c,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Nmap-NSE/Nikto-labelled HTTP service, version and scanner-path probes.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta43_02_v3,TA43_02,3,datasets/public/synthetic_controlled/raw/ta43_02/synthetic_ta43_02_v3.pcap,10805,773a07976eb326a5e785844b5c8ac8065bb0d78ab0e3bd0748185b92d76ebd6d,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Nmap-NSE/Nikto-labelled HTTP service, version and scanner-path probes.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta01_01_v1,TA01_01,1,datasets/public/synthetic_controlled/raw/ta01_01/synthetic_ta01_01_v1.pcap,15854,08778942787023607eab5b9cfe1f066c3bfa8afd43c3db9768f5a0867e3628c3,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Ten repeated POST /login requests receive fixed 401 responses.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta01_01_v2,TA01_01,2,datasets/public/synthetic_controlled/raw/ta01_01/synthetic_ta01_01_v2.pcap,15854,7629b41a758ffba7aaf26ae86b49c5ad14c1aeb72695dc46dbe2e4307653d661,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Ten repeated POST /login requests receive fixed 401 responses.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta01_01_v3,TA01_01,3,datasets/public/synthetic_controlled/raw/ta01_01/synthetic_ta01_01_v3.pcap,15854,2de72479171a95d4a54c7d0a68d3eab77c84e630ab300991c800da2280176528,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Ten repeated POST /login requests receive fixed 401 responses.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta01_02_v1,TA01_02,1,datasets/public/synthetic_controlled/raw/ta01_02/synthetic_ta01_02_v1.pcap,5544,c4932a8afdc1f36337cec24a247ca735cebf234140fb049d855ebbabfe1f0b38,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Traversal/injection-shaped URI strings receive fixed 400 responses; nothing executes.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
