source_id,source_name,source_type,usage,notes
src_competition_decision_boundaries,Competition closed-set decision boundaries,project_distilled,Feature-triggered prompt boundary cards,Derived from official label definitions and project error analysis; contains no evaluation answers or record labels.
src_avast_doublepulsar,Avast DoublePulsar infection article,public_reference,Backup grounding for DoublePulsar infection behavior.,Reference: https://support.avast.com/en-ww/article/hns-doublepulsar-infection/. Used for general source grounding only.
src_deprecated_cisa_smb_doublepulsar,Deprecated CISA SMB/DOUBLEPULSAR URL,deprecated_failed_reference,Records previously failed CISA URL for audit continuity.,"Failed/deprecated; replaced by NHS Digital, Help Net Security, ExtraHop, and Microsoft MS17-010 references."
src_deprecated_malpedia_win_strrat,Deprecated Malpedia STRRAT win.strrat,deprecated_failed_reference,Records previously failed STRRAT URL for audit continuity.,Failed/deprecated; replaced by https://malpedia.caad.fkie.fraunhofer.de/details/jar.strrat and backup public sources.
src_doublepulsar_writeups,Public DoublePulsar / EternalBlue security writeups,public_reference,DoublePulsar implant and SMB post-exploitation behavior.,Used for general implant interpretation.
src_extrahop_doublepulsar,ExtraHop DoublePulsar detected,public_reference,Grounding for DoublePulsar detection and post-exploitation behavior.,Reference: https://www.extrahop.com/blog/double-pulsar-detected. Used for general source grounding only.
src_helpnet_doublepulsar,Help Net Security DoublePulsar backdoor article,public_reference,Grounding for DoublePulsar as Windows backdoor/implant behavior.,Reference: https://www.helpnetsecurity.com/2017/04/24/windows-doublepulsar-backdoor/. Used for general source grounding only.
src_malpedia_jar_strrat,Malpedia STRRAT jar.strrat,public_reference,Grounding for STRRAT as Java RAT / Remote Access Trojan.,Reference: https://malpedia.caad.fkie.fraunhofer.de/details/jar.strrat. Used for general source grounding only.
src_malpedia_strrat,Malpedia STRRAT,public_reference,STRRAT malware family reference.,Used for generic malware-family behavior.
src_microsoft_ms17_010,Microsoft MS17-010 bulletin,official_reference,SMBv1 remote code execution vulnerability reference.,Used for generic SMB exploit knowledge.
src_microsoft_ms17_010_bulletin,Microsoft MS17-010 security bulletin,official_reference,Grounding for SMBv1 remote code execution and SMB exploit context.,Reference: https://learn.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010. Used for general source grounding only.
src_microsoft_strrat_threat,Microsoft threat search: STRRAT,public_reference,Backup grounding for STRRAT malware-family naming.,Reference: https://www.microsoft.com/en-us/wdsi/threats/threat-search?query=Trojan%3AJava%2FStrRat.A%21MTB. Used for general source grounding only.
src_mitre_attack,MITRE ATT&CK,official_reference,Attack stage and tactic terminology reference.,Used only as general stage guidance.
src_mitre_command_and_control,MITRE ATT&CK tactic: Command and Control,official_reference,"Grounding for C2, beacon, callback, and remote-control behavior.",Reference: https://attack.mitre.org/tactics/TA0011/. Used for general source grounding only.
