record_id,source_dataset,expected_technique_code,label_quality,source_type,parser_source,prompt_available,rag_available,recommended_for_sft,reason
feasibility_portscan::scan_group::000001,controlled_portscan_pcap,TA43_01,high_controlled,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000003,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000001,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000007,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::005385,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000026,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000008,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000009,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000014,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000010,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000011,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000013,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000015,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000223,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000020,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
