dataset_id,source_label,candidate_technique_code,confidence,reason,usable_for,needs_manual_review
cic_ids2017,BENIGN,TN01_01,high,Official benign flow label,test|train|rag_prompt_eval,false
cic_ids2017,PortScan,TA43_01,high,Explicit port-scan label,test|train|rag_prompt_eval,false
cic_ids2017,FTP-Patator / SSH-Patator,TA01_01,high,Explicit password brute-force scenarios,test|train|rag_prompt_eval,false
cic_ids2017,Web Attack - Sql Injection / XSS,TA01_02,medium,Web exploit attempt but flow rows lack payload confirmation,rag_prompt_eval,true
cic_ids2017,Heartbleed,TA01_02,high,Explicit vulnerability exploitation scenario,test|train|rag_prompt_eval,false
cic_ids2017,Bot,TA11_02,medium,Bot traffic is a callback/C2 candidate but direction and phase need confirmation,rag_prompt_eval,true
cic_ids2017,Infiltration,TA03_01,low,Broad scenario may include installation but network row alone does not establish it,manual_only,true
cic_ids2017,Infiltration,TA11_01,low,Broad scenario does not identify operator access to an existing backdoor,manual_only,true
cse_cic_ids2018,Benign,TN01_01,high,Official benign flow label,test|train|rag_prompt_eval,false
cse_cic_ids2018,FTP-BruteForce / SSH-Bruteforce,TA01_01,high,Explicit password brute-force scenarios,test|train|rag_prompt_eval,false
cse_cic_ids2018,Brute Force -Web,TA01_01,medium,Credential attack intent is explicit but source label naming is broad,rag_prompt_eval,true
cse_cic_ids2018,SQL Injection / Brute Force -XSS,TA01_02,medium,Exploit family label without packet payload evidence,rag_prompt_eval,true
cse_cic_ids2018,Bot,TA11_02,medium,Botnet traffic is callback-like but flow-only evidence is incomplete,rag_prompt_eval,true
cse_cic_ids2018,Infilteration,TA03_01,low,Scenario description includes post-exploit backdoor but individual flows are not phase labels,manual_only,true
cse_cic_ids2018,Infilteration,TA11_01,low,Backdoor access requires direction and timeline context,manual_only,true
cse_cic_ids2018,Infilteration scan / service enumeration,TA43_01,medium,Scenario schedule can identify sweep/port-scan windows after alignment,rag_prompt_eval,true
cse_cic_ids2018,Infilteration service enumeration,TA43_02,low,Service enumeration is not necessarily vulnerability scanning,manual_only,true
unsw_nb15,Normal,TN01_01,high,Official normal category,test|train|rag_prompt_eval,false
unsw_nb15,Reconnaissance,TA43_01,medium,Category includes reconnaissance beyond pure port scanning,rag_prompt_eval,true
unsw_nb15,Analysis,TA43_02,low,Analysis/service probing is not an explicit vulnerability scan,manual_only,true
unsw_nb15,Exploits,TA01_02,high,Explicit exploit category,test|train|rag_prompt_eval,false
unsw_nb15,Fuzzers / Shellcode,TA01_02,medium,Can represent exploitation attempts but requires subtype review,rag_prompt_eval,true
unsw_nb15,Backdoors / Shellcode / Worms,TA03_01,low,Family label does not prove network-visible installation,manual_only,true
unsw_nb15,Backdoors,TA11_01,low,Backdoor family does not prove access phase or direction,manual_only,true
unsw_nb15,Backdoors / Worms,TA11_02,low,May contain callback traffic but needs session-level inspection,manual_only,true
ctu13,From-Botnet*,TA11_02,high,Botnet-only PCAP and labeled flow identify infected-host traffic,test|train|rag_prompt_eval,false
ctu13,From-Normal*,TN01_01,high,Explicit normal-host flow label,test|train|rag_prompt_eval,false
ctu13,Background*,TN01_01,low,Background contains noisy or unrelated traffic,manual_only,true
stratosphere_mcf,malware C&C / periodic callback,TA11_02,medium,Scenario metadata supports callback but each selected session must be aligned,rag_prompt_eval,true
stratosphere_mcf,backdoor installation narrative,TA03_01,low,Host narrative without network phase evidence is insufficient,manual_only,true
iot23,Malicious C&C / PartOfAHorizontalPortScan,TA11_02,medium,IoT malware behavior is useful but label granularity varies,rag_prompt_eval,true
iot23,Benign,TN01_01,high,Official benign IoT scenarios,test|train|rag_prompt_eval,false
iot23,PartOfAHorizontalPortScan,TA43_01,medium,Explicit scan behavior but mixed scenario context requires filtering,rag_prompt_eval,true
bot_iot,OS Scan,TA43_01,high,Explicit scan subtype,test|train|rag_prompt_eval,false
bot_iot,Service Scan,TA43_02,medium,Service enumeration is a proxy rather than a perfect vulnerability-scan label,rag_prompt_eval,true
bot_iot,Normal,TN01_01,high,Official normal label,test|train|rag_prompt_eval,false
bot_iot,botnet attack traffic,TA11_02,low,Most attack rows are not necessarily callback/C2,manual_only,true
ton_iot_family,scanning,TA43_01,high,Explicit scanning label,test|train|rag_prompt_eval,false
ton_iot_family,xss / injection,TA01_02,medium,Web attack label is useful but derived flows may lack payload evidence,rag_prompt_eval,true
ton_iot_family,normal,TN01_01,high,Official normal label,test|train|rag_prompt_eval,false
ton_iot_family,malware / backdoor,TA11_02,low,Generic malware category does not establish callback behavior,manual_only,true
